82.54041852680351E9|(623.6674509328550E-6,-445.0916462962747E-6)
84.13951416452119E9|(709.3659491594960E-6,-303.7604646548805E-6)
80.97171416105780E9|(552.3298014656944E-6,-583.4553062731136E-6)
85.76958985909113E9|(812.4686127682376E-6,-159.8022661248744E-6)
79.43282347242973E9|(492.9350085429943E-6,-718.8570559687718E-6)
87.43124580220911E9|(936.7924123704156E-6,-14.12578957472401E-6)
77.92317984342096E9|(443.5648952395657E-6,-851.5090328252284E-6)
76.44222742526155E9|(402.7024006168338E-6,-981.7494207069635E-6)
89.12509381337633E9|(1.087084512260047E-3,131.4368112441069E-6)
74.98942093324704E9|(369.1497977825827E-6,-1.109978894387845E-3)
73.56422544596559E9|(341.9690582541140E-6,-1.236637025864937E-3)
90.85175756517049E9|(1.269153863837305E-3,273.5693965475353E-6)
72.16611620834024E9|(320.4361461792511E-6,-1.362171808297379E-3)
70.79457843841516E9|(304.0091065661086E-6,-1.487036290575381E-3)
92.61187281288120E9|(1.489879540678767E-3,406.6101087042314E-6)
69.44910713781346E9|(292.3084716383817E-6,-1.611683467344783E-3)
68.12920690579746E9|(285.1057925904181E-6,-1.736542725371503E-3)
94.40608762859422E9|(1.756894355034711E-3,521.2588495276166E-6)
66.83439175686276E9|(282.3324480851229E-6,-1.862023966558174E-3)
65.56418494179916E9|(284.1051521176577E-6,-1.988470114503003E-3)
64.31811877215212E9|(290.7324106952802E-6,-2.116073296093883E-3)
96.23506263981079E9|(2.077525007644816E-3,602.7885887090980E-6)
63.09573444802055E9|(302.7775214592279E-6,-2.244782243359278E-3)
61.89658188912724E9|(321.0246515290998E-6,-2.373864047678572E-3)
60.72021956910001E9|(345.9621029591000E-6,-2.501325478273330E-3)
98.09947127268971E9|(2.456245825692661E-3,628.9268631383436E-6)
59.56621435290218E9|(376.1157517845013E-6,-2.623463707249467E-3)
58.43414133735288E9|(404.8343515513080E-6,-2.737062436267035E-3)
57.32358369467822E9|(421.2496788246221E-6,-2.847282482221185E-3)
100.0000000000000E9|(2.889605764598643E-3,568.2885969565999E-6)
56.23413251903599E9|(423.5326748428470E-6,-2.969641480808469E-3)
55.16538667595685E9|(423.7371719516381E-6,-3.113306232380219E-3)
54.11695265464741E9|(432.2152478584216E-6,-3.274977651218797E-3)
21.96173600205473E9|(3.244381227682984E-3,-634.1348656014250E-6)
22.38721138568378E9|(3.265484634999152E-3,-526.0482303445878E-6)
21.54434690031920E9|(3.230764392184066E-3,-737.3184213786434E-6)
22.82092971067490E9|(3.295053339467275E-3,-412.7437460034723E-6)
21.13489039836683E9|(3.223818282137721E-3,-835.8593710996800E-6)
23.26305067153666E9|(3.334230697665571E-3,-293.9393641970664E-6)
20.73321573485990E9|(3.222844470412314E-3,-930.0029304395835E-6)
20.33917501372327E9|(3.227239739046434E-3,-1.019977357075652E-3)
23.71373705661696E9|(3.384378103303935E-3,-169.3561336179405E-6)
19.95262314968913E9|(3.236487985431266E-3,-1.105993482601992E-3)
24.17315480804146E9|(3.447167334045699E-3,-38.66849571382388E-6)
19.57341781487694E9|(3.250137881772632E-3,-1.188244640118292E-3)
53.08844442309985E9|(451.5281495657352E-6,-3.449277026567903E-3)
19.20141938638834E9|(3.267794641620810E-3,-1.266905319048540E-3)
24.64147308281324E9|(3.524584736608121E-3,98.34506936892093E-6)
18.83649089489832E9|(3.289112819782853E-3,-1.342090606602568E-3)
18.47849797422322E9|(3.313779295491390E-3,-1.413988600766448E-3)
25.11886431509623E9|(3.619044705574493E-3,241.8365693114749E-6)
18.12730881184729E9|(3.341519247416637E-3,-1.482696617909030E-3)
